CCAA,Año,Indice_IPC,Precio_Vivienda_IPV,Renta_Media,Pob_Adulta,Pob_Joven,Pob_Senior,Ratio_Esfuerzo,Renta_Ajustada_IPC,Pct_Pob_Joven
Extremadura,2020,20.071,106.309,13297,390877.0,452542.0,220168.0,7.994961269459276,17368.74838533731,42.54865845483256
Extremadura,2021,22.74,108.772,13908,391442.0,446551.0,221086.0,7.820822548173713,16034.59841688654,42.16408785369175
Extremadura,2022,26.465,114.612,14843,392117.0,438898.0,223279.0,7.7216196186754695,14703.93773703103,41.62956442889744
Galicia,2008,19.525,140.439,14374,943570.0,1243427.0,596515.0,9.770349241686377,19300.58461082283,44.6711564383412
Galicia,2009,17.771,138.72,15113,952914.0,1237308.0,605092.0,9.178852643419573,22295.78056502462,44.26364980821475
Galicia,2010,19.002,136.011,15764,962368.0,1221780.0,612610.0,8.62794975894443,21749.585184938976,43.6855816627681
Galicia,2011,20.055,129.103,15450,970512.0,1201978.0,621919.0,8.356181229773464,20197.131047514067,43.013674805656585
Galicia,2012,20.224,112.384,15333,976127.0,1176340.0,627935.0,7.32955064240527,19876.684533227843,42.308270530664274
Galicia,2013,19.982,99.834,15037,983547.0,1149098.0,632108.0,6.6392232493183485,19729.047163499778,41.562410819339014
Galicia,2014,19.449,98.655,15273,986231.0,1121699.0,639484.0,6.459438224317423,20587.847439051115,40.82744719215961
Galicia,2015,19.23,100.0,15133,986874.0,1097225.0,646829.0,6.60807506773277,20631.443446369427,40.177734455100975
Galicia,2016,19.275,101.957,15428,987522.0,1077687.0,651814.0,6.60856883588281,20984.523372243835,39.66425753480924
Galicia,2017,20.412,103.716,15880,988009.0,1062683.0,656056.0,6.531234256926951,20396.178512123926,39.26050744287979
Galicia,2018,20.736,107.673,16758,986471.0,1051173.0,662477.0,6.425170068027211,21187.565972222215,38.93058866621163
Galicia,2019,20.466,111.998,16621,985957.0,1043064.0,668767.0,6.7383430599843575,21291.58759843025,38.66367557421117
Galicia,2020,19.881,114.516,16757,989313.0,1034474.0,676200.0,6.8339201527719755,22097.437299299247,38.314036326841574
Galicia,2021,22.646,119.78,16785,991347.0,1020298.0,682053.0,7.13613345248734,19431.830275591827,37.87722305915511
Galicia,2022,26.482,127.685,18093,992885.0,1005657.0,689883.0,7.057149173713591,17911.982979501467,37.40692040878953
La Rioja,2008,19.637,170.416,15917,104443.0,156403.0,56599.0,10.706540177169064,21250.538612661912,49.26932224479831
La Rioja,2009,17.877,161.124,16447,106800.0,157443.0,57398.0,9.7965586429136,24119.923064920225,48.94991621093082
La Rioja,2010,19.066,155.023,15769,108631.0,155583.0,58145.0,9.830870695668718,21683.452373196706,48.26389212027584
La Rioja,2011,20.245,137.909,15517,110046.0,153903.0,58938.0,8.887607140555518,20094.344563309973,47.66466286967267
La Rioja,2012,20.466,117.833,16102,112026.0,151924.0,59573.0,7.317910818531859,20626.745894345942,46.95925791983878
La Rioja,2013,19.977,101.723,15321,113028.0,148621.0,60277.0,6.639449122119966,20106.69586867002,46.16619968564204
La Rioja,2014,19.487,99.483,16090,113307.0,144309.0,61280.0,6.182908638906153,21646.86082219455,45.25268426069941
