Renta;Total Nacional;Comunidades y Ciudades Autónomas;Periodo;Total
Mediana;Total Nacional;04 Balears, Illes;2020;18.363
Mediana;Total Nacional;04 Balears, Illes;2019;16.798
Mediana;Total Nacional;04 Balears, Illes;2018;17.039
Mediana;Total Nacional;04 Balears, Illes;2017;14.000
Mediana;Total Nacional;04 Balears, Illes;2016;15.007
Mediana;Total Nacional;04 Balears, Illes;2015;14.954
Mediana;Total Nacional;04 Balears, Illes;2014;14.115
Mediana;Total Nacional;04 Balears, Illes;2013;13.523
Mediana;Total Nacional;04 Balears, Illes;2012;14.395
Mediana;Total Nacional;04 Balears, Illes;2011;14.897
Mediana;Total Nacional;04 Balears, Illes;2010;15.266
Mediana;Total Nacional;04 Balears, Illes;2009;15.308
Mediana;Total Nacional;04 Balears, Illes;2008;14.329
Mediana;Total Nacional;05 Canarias;2023;16.092
Mediana;Total Nacional;05 Canarias;2022;14.082
Mediana;Total Nacional;05 Canarias;2021;13.763
Mediana;Total Nacional;05 Canarias;2020;13.588
Mediana;Total Nacional;05 Canarias;2019;12.819
Mediana;Total Nacional;05 Canarias;2018;12.047
Mediana;Total Nacional;05 Canarias;2017;11.615
Mediana;Total Nacional;05 Canarias;2016;11.010
Mediana;Total Nacional;05 Canarias;2015;11.839
Mediana;Total Nacional;05 Canarias;2014;11.157
Mediana;Total Nacional;05 Canarias;2013;11.723
Mediana;Total Nacional;05 Canarias;2012;10.752
Mediana;Total Nacional;05 Canarias;2011;11.284
Mediana;Total Nacional;05 Canarias;2010;12.737
Mediana;Total Nacional;05 Canarias;2009;11.673
Mediana;Total Nacional;05 Canarias;2008;11.815
Mediana;Total Nacional;06 Cantabria;2023;17.895
Mediana;Total Nacional;06 Cantabria;2022;17.307
Mediana;Total Nacional;06 Cantabria;2021;16.364
Mediana;Total Nacional;06 Cantabria;2020;16.083
Mediana;Total Nacional;06 Cantabria;2019;15.932
Mediana;Total Nacional;06 Cantabria;2018;14.603
Mediana;Total Nacional;06 Cantabria;2017;13.999
